# Expected threshold = 0.00
# SNR, histogram, survival histogram, random survival histogram
-12.465820 0.000000 35863415524910.000000 38111186780160.000000
-12.397461 0.000000 35863415524910.000000 38111186780160.000000
-12.329102 0.000000 35863415524910.000000 38111186780160.000000
-12.260742 0.000000 35863415524910.000000 38111186780160.000000
-12.192383 0.000000 35863415524910.000000 38111186780160.000000
-12.124023 0.000000 35863415524910.000000 38111186780160.000000
-12.055664 0.000000 35863415524910.000000 38111186780160.000000
-11.987305 0.000000 35863415524910.000000 38111186780160.000000
-11.918945 0.000000 35863415524910.000000 38111186780160.000000
-11.850586 0.000000 35863415524910.000000 38111186780160.000000
-11.782227 0.000000 35863415524910.000000 38111186780160.000000
-11.713867 0.000000 35863415524910.000000 38111186780160.000000
-11.645508 0.000000 35863415524910.000000 38111186780160.000000
-11.577148 0.000000 35863415524910.000000 38111186780160.000000
-11.508789 0.000000 35863415524910.000000 38111186780160.000000
-11.440430 0.000000 35863415524910.000000 38111186780160.000000
-11.372070 0.000000 35863415524910.000000 38111186780160.000000
-11.303711 0.000000 35863415524910.000000 38111186780160.000000
-11.235352 0.000000 35863415524910.000000 38111186780160.000000
-11.166992 0.000000 35863415524910.000000 38111186780160.000000
-11.098633 0.000000 35863415524910.000000 38111186780160.000000
-11.030273 0.000000 35863415524910.000000 38111186780160.000000
-10.961914 0.000000 35863415524910.000000 38111186780160.000000
-10.893555 0.000000 35863415524910.000000 38111186780160.000000
-10.825195 0.000000 35863415524910.000000 38111186780160.000000
-10.756836 0.000000 35863415524910.000000 38111186780160.000000
-10.688477 0.000000 35863415524910.000000 38111186780160.000000
-10.620117 0.000000 35863415524910.000000 38111186780160.000000
-10.551758 0.000000 35863415524910.000000 38111186780160.000000
-10.483398 0.000000 35863415524910.000000 38111186780160.000000
-10.415039 0.000000 35863415524910.000000 38111186780160.000000
-10.346680 0.000000 35863415524910.000000 38111186780160.000000
-10.278320 0.000000 35863415524910.000000 38111186780160.000000
-10.209961 0.000000 35863415524910.000000 38111186780160.000000
-10.141602 0.000000 35863415524910.000000 38111186780160.000000
-10.073242 0.000000 35863415524910.000000 38111186780160.000000
-10.004883 0.000000 35863415524910.000000 38111186780160.000000
-9.936523 0.000000 35863415524910.000000 38111186780160.000000
-9.868164 0.000000 35863415524910.000000 38111186780160.000000
-9.799805 0.000000 35863415524910.000000 38111186780160.000000
-9.731445 0.000000 35863415524910.000000 38111186780160.000000
-9.663086 0.000000 35863415524910.000000 38111186780160.000000
-9.594727 0.000000 35863415524910.000000 38111186780160.000000
-9.526367 0.000000 35863415524910.000000 38111186780160.000000
-9.458008 0.000000 35863415524910.000000 38111186780160.000000
-9.389648 0.000000 35863415524910.000000 38111186780160.000000
-9.321289 0.000000 35863415524910.000000 38111186780160.000000
-9.252930 0.000000 35863415524910.000000 38111186780160.000000
-9.184570 0.000000 35863415524910.000000 38111186780160.000000
-9.116211 0.000000 35863415524910.000000 38111186780160.000000
-9.047852 0.000000 35863415524910.000000 38111186780160.000000
-8.979492 0.000000 35863415524910.000000 38111186780160.000000
-8.911133 0.000000 35863415524910.000000 38111186780160.000000
-8.842773 0.000000 35863415524910.000000 38111186780160.000000
-8.774414 0.000000 35863415524910.000000 38111186780160.000000
-8.706055 0.000000 35863415524910.000000 38111186780160.000000
-8.637695 0.000000 35863415524910.000000 38111186780160.000000
